dataset_name;letter;complexity_type;encoding_type;weighted_values;average_fscore;average_precision;average_recall;Unnamed: 8;weighted_average_fscore;weighted_average_precision;weighted_average_recall
bpic2015_1_f2;N;complex;weighted_edit_distance;50% 50% 0%;0,733;0,635;0,865;|;0,752;0,652;0,887
bpic2015_1_f2;QW;complex;weighted_edit_distance;50% 0% 50%;0,849;0,737;1,000;|;0,849;0,737;1,000
