prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,266,187,64,3,12,0.7450199203187251,0.9396984924623115,0.831111111111111
2,266,187,64,3,12,0.7450199203187251,0.9396984924623115,0.831111111111111
3,266,187,64,3,12,0.7450199203187251,0.9396984924623115,0.831111111111111
4,266,187,64,3,12,0.7450199203187251,0.9396984924623115,0.831111111111111
5,265,187,64,2,12,0.7450199203187251,0.9396984924623115,0.831111111111111
6,264,187,64,2,11,0.7450199203187251,0.9444444444444444,0.8329621380846325
7,263,187,64,2,10,0.7450199203187251,0.949238578680203,0.8348214285714286
8,261,187,64,2,8,0.7450199203187251,0.958974358974359,0.8385650224215248
9,261,187,64,2,8,0.7450199203187251,0.958974358974359,0.8385650224215248
10,260,187,64,2,7,0.7450199203187251,0.9639175257731959,0.8404494382022473
11,257,187,64,2,4,0.7450199203187251,0.9790575916230366,0.8461538461538461
12,257,187,64,2,4,0.7450199203187251,0.9790575916230366,0.8461538461538461
13,257,187,64,2,4,0.7450199203187251,0.9790575916230366,0.8461538461538461
14,256,187,65,1,3,0.7420634920634921,0.9842105263157894,0.8461538461538461
15,255,187,65,1,2,0.7420634920634921,0.9894179894179894,0.8480725623582768
16,255,184,64,2,5,0.7419354838709677,0.9735449735449735,0.8421052631578947
17,255,184,64,2,5,0.7419354838709677,0.9735449735449735,0.8421052631578947
18,255,184,65,1,5,0.7389558232931727,0.9735449735449735,0.8401826484018265
19,255,184,65,1,5,0.7389558232931727,0.9735449735449735,0.8401826484018265
20,255,183,64,2,6,0.7408906882591093,0.9682539682539683,0.8394495412844037
21,254,183,64,2,5,0.7408906882591093,0.973404255319149,0.8413793103448276
22,254,183,64,2,5,0.7408906882591093,0.973404255319149,0.8413793103448276
23,253,183,63,3,4,0.7439024390243902,0.9786096256684492,0.8452655889145496
24,251,183,63,3,2,0.7439024390243902,0.9891891891891892,0.8491879350348028
25,249,181,63,2,3,0.7418032786885246,0.9836956521739131,0.8457943925233644
26,249,0,0,0,0,0,0,0
27,248,0,0,0,0,0,0,0
28,247,0,0,0,0,0,0,0
29,246,0,0,0,0,0,0,0
30,245,0,0,0,0,0,0,0
31,244,0,0,0,0,0,0,0
32,243,0,0,0,0,0,0,0
33,240,0,0,0,0,0,0,0
34,240,0,0,0,0,0,0,0
35,240,0,0,0,0,0,0,0
36,240,0,0,0,0,0,0,0
37,231,0,0,0,0,0,0,0
38,228,0,0,0,0,0,0,0
39,222,0,0,0,0,0,0,0
40,222,0,0,0,0,0,0,0
