prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,211,139,53,2,17,0.7239583333333334,0.8910256410256411,0.7988505747126438
2,211,139,53,2,17,0.7239583333333334,0.8910256410256411,0.7988505747126438
3,211,139,53,2,17,0.7239583333333334,0.8910256410256411,0.7988505747126438
4,211,139,53,2,17,0.7239583333333334,0.8910256410256411,0.7988505747126438
5,211,139,53,2,17,0.7239583333333334,0.8910256410256411,0.7988505747126438
6,211,139,53,2,17,0.7239583333333334,0.8910256410256411,0.7988505747126438
7,211,139,53,2,17,0.7239583333333334,0.8910256410256411,0.7988505747126438
8,211,139,53,2,17,0.7239583333333334,0.8910256410256411,0.7988505747126438
9,211,139,53,2,17,0.7239583333333334,0.8910256410256411,0.7988505747126438
10,210,139,53,2,16,0.7239583333333334,0.896774193548387,0.8011527377521613
11,209,139,53,2,15,0.7239583333333334,0.9025974025974026,0.8034682080924855
12,208,139,53,2,14,0.7239583333333334,0.9084967320261438,0.8057971014492753
13,206,136,53,2,15,0.7195767195767195,0.9006622516556292,0.7999999999999999
14,206,136,53,2,15,0.7195767195767195,0.9006622516556292,0.7999999999999999
15,203,136,53,2,12,0.7195767195767195,0.918918918918919,0.8071216617210683
16,203,136,53,2,12,0.7195767195767195,0.918918918918919,0.8071216617210683
17,202,135,53,2,12,0.7180851063829787,0.9183673469387755,0.8059701492537314
18,201,135,53,2,11,0.7180851063829787,0.9246575342465754,0.8083832335329343
19,201,135,53,2,11,0.7180851063829787,0.9246575342465754,0.8083832335329343
20,200,135,53,2,10,0.7180851063829787,0.9310344827586207,0.8108108108108109
21,197,137,53,2,5,0.7210526315789474,0.9647887323943662,0.8253012048192772
22,196,135,53,2,6,0.7180851063829787,0.9574468085106383,0.8206686930091185
23,196,135,53,2,6,0.7180851063829787,0.9574468085106383,0.8206686930091185
24,196,135,53,2,6,0.7180851063829787,0.9574468085106383,0.8206686930091185
25,194,135,53,0,6,0.7180851063829787,0.9574468085106383,0.8206686930091185
26,194,135,53,0,6,0.7180851063829787,0.9574468085106383,0.8206686930091185
27,193,0,0,0,0,0,0,0
28,193,0,0,0,0,0,0,0
29,193,0,0,0,0,0,0,0
30,193,0,0,0,0,0,0,0
31,193,0,0,0,0,0,0,0
32,192,0,0,0,0,0,0,0
33,192,0,0,0,0,0,0,0
34,192,0,0,0,0,0,0,0
35,189,0,0,0,0,0,0,0
36,189,0,0,0,0,0,0,0
37,188,0,0,0,0,0,0,0
38,188,0,0,0,0,0,0,0
39,188,0,0,0,0,0,0,0
40,185,0,0,0,0,0,0,0
