dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
Production,simple,W,61.79,51.21,55.77,61.84,50.56,55.36
Unknown,simple,W,89.8,80.02,83.71,89.7,83.37,85.55
Unknown,simple,W,92.56,95.72,93.85,92.36,96.11,93.95
Unknown,simple,W,31.84,52.12,39.16,32.05,54.13,39.89
Unknown,simple,W,31.84,52.12,39.16,32.05,54.13,39.89
