dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
Production,lib,W,60.56,100.0,75.25,63.57,100.0,77.64
sepsis_cases_1,lib,W,88.98,100.0,94.15,89.47,100.0,94.44
sepsis_cases_2,lib,W,90.77,100.0,95.1,90.03,100.0,94.69
sepsis_cases_4,lib,W,22.9,100.0,36.64,18.98,100.0,31.5
