prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,135,22,0,0,0.8598726114649682,1.0,0.9246575342465754
2,157,263,42,0,0,0.8622950819672132,1.0,0.9260563380281691
3,157,263,42,0,0,0.8622950819672132,1.0,0.9260563380281691
4,157,263,42,0,0,0.8622950819672132,1.0,0.9260563380281691
5,156,263,40,0,0,0.8679867986798679,1.0,0.9293286219081272
6,155,263,38,0,0,0.8737541528239202,1.0,0.9326241134751774
7,154,202,27,0,0,0.8820960698689956,1.0,0.9373549883990718
8,154,202,27,0,0,0.8820960698689956,1.0,0.9373549883990718
9,143,134,9,0,0,0.9370629370629371,1.0,0.9675090252707581
10,135,130,5,0,0,0.9629629629629629,1.0,0.9811320754716981
11,124,121,3,0,0,0.9758064516129032,1.0,0.9877551020408163
12,113,110,3,0,0,0.9734513274336283,1.0,0.9865470852017937
