dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
Production;N;complex;unknown;;9.0;0.6153846153846154;0.761904761904762
Production;N;complex;unknown;;10.0;0.6666666666666666;0.8
Production;N;simple;unknown;;1.0;0.6666666666666666;0.6666666666666666
Production;N;simple;unknown;;2.0;0.6;0.576923076923077
Production;N;simple;unknown;;3.0;0.6;0.6250000000000001
Production;N;simple;unknown;;4.0;0.6;0.6666666666666665
Production;N;simple;unknown;;5.0;0.0;0.0
Production;N;simple;unknown;;6.0;1.0;0.25
Production;N;simple;unknown;;7.0;0.0;0.0
Production;N;simple;unknown;;8.0;0.0;0.0
Production;N;simple;unknown;;9.0;0.0;0.0
Production;N;simple;unknown;;10.0;0.0;0.0
