dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;1.0;0.6096491228070176;0.7574931880108992
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;2.0;0.6079295154185022;0.7561643835616438
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;3.0;0.591743119266055;0.7435158501440923
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;4.0;0.5821596244131455;0.7359050445103857
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;5.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;6.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;7.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;8.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;9.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;10.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;11.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;12.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;13.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;14.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;15.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;16.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;17.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;18.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;19.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;20.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;21.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;22.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;23.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;24.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;25.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;26.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;27.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;28.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;29.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;30.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;31.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;32.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;33.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;34.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;35.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;36.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;37.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;38.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;39.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;0% 50% 50%;40.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;1.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;2.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;3.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;4.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;5.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;6.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;7.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;8.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;9.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;10.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;11.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;12.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;13.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;14.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;15.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;16.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;17.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;18.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;19.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;20.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;21.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;22.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;23.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;24.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;25.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;26.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;27.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;28.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;29.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;30.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;31.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;32.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;33.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;34.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;35.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;36.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;37.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;38.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;39.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 0% 50%;40.0;0.0;0.0
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;1.0;0.6096491228070176;0.7574931880108992
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;2.0;0.6079295154185022;0.7561643835616438
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;3.0;0.591743119266055;0.7435158501440923
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;4.0;0.5821596244131455;0.7359050445103857
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;5.0;0.5700483091787439;0.7261538461538461
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;6.0;0.555;0.7138263665594855
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;7.0;0.555;0.7138263665594855
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;8.0;0.5505050505050505;0.7100977198697068
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;9.0;0.5505050505050505;0.7100977198697068
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;10.0;0.5505050505050505;0.7100977198697068
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;11.0;0.5435897435897435;0.7043189368770765
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;12.0;0.5435897435897435;0.7043189368770765
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;13.0;0.5412371134020618;0.7023411371237458
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;14.0;0.5364583333333334;0.6983050847457627
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;15.0;0.5364583333333334;0.6983050847457627
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;16.0;0.5364583333333334;0.6983050847457627
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;17.0;0.5364583333333334;0.6983050847457627
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;18.0;0.5392670157068062;0.7006802721088435
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;19.0;0.5368421052631579;0.6986301369863014
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;20.0;0.5368421052631579;0.6986301369863014
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;21.0;0.5368421052631579;0.6986301369863014
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;22.0;0.5454545454545454;0.7058823529411764
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;23.0;0.5454545454545454;0.7058823529411764
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;24.0;0.5431472081218274;0.7039473684210527
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;25.0;0.5431472081218274;0.7039473684210527
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;26.0;0.5431472081218274;0.7039473684210527
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;27.0;0.5305164319248826;0.6932515337423313
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;28.0;0.5283018867924528;0.6913580246913581
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;29.0;0.5263157894736842;0.6896551724137931
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;30.0;0.5263157894736842;0.6896551724137931
bpic2011_f4;N;complex;weighted_edit_distance;50% 50% 0%;31.0;0.5056179775280899;0.6716417910447761
