dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;37.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;38.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;39.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;25% 50% 25%;40.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;1.0;0.8505747126436781;0.9192546583850932
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;2.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;3.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;4.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;5.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;6.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;7.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;8.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;9.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;10.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;11.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;12.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;13.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;14.0;0.85;0.9189189189189187
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;15.0;0.85;0.9189189189189187
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;16.0;0.8481012658227848;0.917808219178082
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;17.0;0.8481012658227848;0.917808219178082
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;18.0;0.8441558441558441;0.9154929577464788
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;19.0;0.8441558441558441;0.9154929577464788
